id,name,city_name,address,city_id,slug,latitude,longitude,is_open,usd,cash_in,is_nfc,is_digital,payment_terminal,working_weekends,working_hours,notes
201,50 saylı Notariat şöbəsi,Bakı,"Bakı şəhəri, Nizami rayonu, Azər Manafov küçəsi 16",1,50-sayli-notariat-shobesi-776,40.4190296184597,49.93361835214919,1,0,0,0,0,0,0,Mon-Fri: 09:00-18:00 (Müştərilərə xidmət vaxtı 09:00-17:00); Sat: 10:00-16:00 (Müştərilərə xidmət vaxtı 10:00-15:00); Sun: qeyri-iş günü,
203,Buzovna şöbəsi,Bakı,Bakı şəh. Xəzər ray. Buzovna qəs. Rasim İmanov küç 22,1,buzovna-shobesi-761,40.52649579855604,50.09840157508598,1,0,0,0,0,0,0,Mon-Fri: 09:00-18:00 (Müştərilərə xidmət vaxtı 09:00-17:00); Sat: qeyri-iş günü; Sun: qeyri-iş günü,
208,Dəmiryol şöbəsi,Bakı,Fikrət Əmirov 24 (2 saylı ASAN Kommunal),1,demiryol-shobesi-749,40.40927551957306,49.86707416971347,1,0,0,0,0,0,0,Mon-Fri: 09:00-18:30 (Müştərilərə xidmət vaxtı 09:00-18:00); Sat: 09:30-17:30 (Müştərilərə xidmət vaxtı 10:00-17:00); Sun: ,
209,Bravo 1 filialı,Bakı,"Bakı şəhəri, Xətai rayonu, Əhmədli qəsəbəsi, Ramiz Quliyev küçəsi 4",1,bravo-1-filiali-745,40.37475492597779,49.94484112235593,1,0,0,0,0,0,1,Mon-Fri: 10:00-19:00 (Müştərilərə xidmət vaxtı 10:00-18:00); Sat: 10:00-19:00 (Müştərilərə xidmət vaxtı 10:00-19:00); Sun: 10:00-19:00 (Müştərilərə xidmət vaxtı 10:00-19:00),
240,Bakı limanı şöbəsi,Bakı,"Bakı şəhəri, Qaradağ rayonu, Ələt qəsəbəsi, Bakı Beynəlxalq Dəniz Ticarət Limanı",1,baki-limani-shobesi-689,39.973233486691825,49.442786065417366,1,0,0,0,0,0,0,Mon-Fri: 7 gün / 24 saat; Sat: 7 gün / 24 saat; Sun: 7 gün / 24 saat,
241,52 saylı Notariat şöbəsi,Bakı,"Bakı şəh, Nizami rayonu, Qara Qarayev prospekti 115/9",1,52-sayli-notariat-shobesi-682,40.3979836,49.9501953,1,0,0,0,0,0,0,Mon-Fri: 10:00-19:00 (Müştərilərə xidmət vaxtı 10:00-18:00); Sat: 10:00-17:00 (Müştərilərə xidmət vaxtı 10:00-16:00); Sun: qeyri-iş günü,
242,4 saylı Bakı Asan filialı,Bakı,"Bakı şəhəri, Bakıxanov qəsəbəsi, Sülh küçəsi, 8 A (4 Saylı Bakı “Asan Xidmət” Mərkəzinin inzibati  binası)",1,4-sayli-baki-asan-filiali,40.421402,49.9665222,1,0,0,0,0,0,0,Mon-Fri: 09:00-18:30 (Müştərilərə xidmət vaxtı 09:00-18:00); Sat: 09:30-17:30 (Müştərilərə xidmət vaxtı 09:30-17:00); Sun: 09:30-17:30 (Müştərilərə xidmət vaxtı 09:30-17:00),
243,Yasamal filialı,Bakı,"Bakı şəhəri, Yasamal rayonu, Landau küçəsi, bina 6",1,yasamal-filiali-618,40.37248226149035,49.81700488169915,1,0,0,0,0,0,0,Mon-Fri: 09:00-18:00 (Müştərilərə xidmət vaxtı 09:00-17:00); Sat: qeyri-iş günü; Sun: qeyri-iş günü,
245,Binəqədi filialı,Bakı,"Nəsimi r-nu, Asif Məhərrəmov 174",1,bineqedi-filiali-609,40.40987996371933,49.80784120653588,1,0,0,0,0,0,1,Mon-Fri: 09:00-18:00 (Müştərilərə xidmət vaxtı 09:00-17:00); Sat: qeyri-iş günü; Sun: qeyri-iş günü,
246,Nəsimi filialı,Bakı,"Bakı şəhəri, Nəsimi rayonu, İ.Qasımov küçəsi 4",1,nesimi-filiali-608,40.39336377108836,49.8364635077574,1,0,0,0,0,0,0,Mon-Fri: 09:00-18:00 (Müştərilərə xidmət vaxtı 09:00-17:00); Sat: qeyri-iş günü; Sun: qeyri-iş günü,
