address,branch_code,coordinates_id,createdAt,director,documentId,filter_tags,has_safe_box,has_weekend_hours,id,latitude,locale,longitude,nearby_metro,phone_numbers,publishedAt,title,updatedAt,work_time
"Gəncə, Nizami rayonu, Atatürk prospekti 242B",925,1150,2025-03-06T06:13:34.596Z,Tural Hüseynli,wpo377vjyjt7g1oh5n1iyqej,Həftəsonu işləyən filiallar,False,True,615,40.68052,az,46.3581,,(+994 12) 493 00 91 |  937 |  (+994 22) 256 35 66,2025-09-25T14:55:55.524Z,Gəncə Mərkəz filialı,2025-09-25T14:55:55.279Z,Bazar ertəsi – Cümə: 09:00 - 17:00 | Şənbə: 10:00 - 14:00
"Nərimanov rayonu, Gənclik mst. yaxınlığı, Akademik H.Əliyev 94",206,1155,2025-03-06T06:12:16.792Z,Toghrul Mammadov,v4pq5nplrsy9axi1omzubrkx,Həftəsonu işləyən filiallar,False,True,616,40.403295,az,49.854145,,(+994 12) 493 00 91 |  937,2025-09-25T14:56:09.342Z,Gənclik filialı,2025-09-25T14:56:09.109Z,Bazar ertəsi – Cümə: 09:00 - 17:00 | Şənbə: 10:00 - 14:00
"Lənkəran şəhəri, Ş.Axundov küçəsi 16",261,1165,2025-03-06T06:12:54.952Z,Rövşən Abbasov,npzy34r9buggmj4ss5gfg5kw,Həftəsonu işləyən filiallar,False,True,618,38.753909,az,48.855414,,(+994 12) 493 00 91 |  937 |  (+994 25) 255 43 97,2025-09-25T14:56:42.628Z,Lənkəran filialı,2025-09-25T14:56:42.376Z,Bazar ertəsi – Cümə: 09:00 - 17:00 | Şənbə: 10:00 - 14:00
"Mərdəkan qəs., Yesenin 8a",356,1170,2025-03-06T06:13:18.336Z,Eldar Orucov,xxptcadh686ie744158u8j8w,Həftəsonu işləyən filiallar,False,True,619,40.487396,az,50.161011,,(+994 12) 493 00 91 |  937,2025-09-25T14:57:06.570Z,Mərdəkan filialı,2025-09-25T14:57:06.328Z,Bazar ertəsi – Cümə: 09:00-17:00 | Şənbə: 10:00-14:00
"Şəki, H.Əliyev prospekti 61A",266,1180,2025-03-06T06:13:03.054Z,Elçin Salmanov,o06mucqu7jwquazaazm8jyov,Həftəsonu işləyən filiallar,False,True,621,41.205125,az,47.177632,,(+994 12) 493 00 91 |  937 |  (+994 24) 244 20 60,2025-09-25T14:57:38.792Z,Şəki filialı,2025-09-25T14:57:38.529Z,Bazar ertəsi – Cümə: 09:00-17:00 | Şənbə: 10:00-14:00
"Şəmkir, S.Vurğun küçəsi 131",263,1185,2025-03-06T06:13:04.538Z,Nurlan Cahangirov,hqsfpgn3ghovi30fls0hil37,Həftəsonu işləyən filiallar,False,True,622,40.830095,az,46.020204,,(+994 12) 493 00 91 |  937 |  (+994 22) 302 30 22,2025-09-25T14:57:52.613Z,Şəmkir filialı,2025-09-25T14:57:52.362Z,Bazar ertəsi – Cümə: 09:00 - 17:00; | Şənbə: 10:00 - 14:00
"Sumqayıt şəhəri, Səməd Vurğun küçəsi 112/14",213,1190,2025-03-06T06:12:59.408Z,Anar Salahov,aueeb6bvhulhtsuy0qnbwn8k,Həftəsonu işləyən filiallar,False,True,623,40.593892,az,49.678295,,(+994 12) 493 00 91 |  937 |  (+994 18) 655 39 82 |  (+994 18) 654 05 83,2025-09-25T14:58:03.121Z,Sumqayıt filialı,2025-09-25T14:58:02.847Z,Bazar ertəsi – Cümə: 09:00-17:00 | Şənbə: 10:00-14:00
"Bakı şəhəri,  Babək prospekti 1145-ci məhəllə",211,1205,2025-03-06T06:12:26.632Z,Toğrul Məmmədov,qujazycllwf5oip21ojf5fk3,Həftəsonu işləyən filiallar | Seyf olan filiallar,True,True,626,40.389328,az,49.882416,,(+994 12) 493 00 91 |  937,2025-09-25T15:00:53.556Z,Sənaye filialı,2025-09-25T15:00:53.302Z,Bazar ertəsi – Cümə: 09:00-17:00
"Səbail rayonu, Lev Tolstoy k-si 191",209,1210,2025-03-06T06:12:24.925Z,Bağırov Cavid,y1eryijn4sva8j8bwi4so3kv,Həftəsonu işləyən filiallar | Seyf olan filiallar,True,True,627,40.3740776,az,49.84202332,,(+994 12) 493 00 91 |  937,2025-09-25T15:01:05.304Z,Səbail filialı,2025-09-25T15:01:05.067Z,Bazar ertəsi – Cümə: 09:00-17:00 | Şənbə: 10:00-14:00
"Bakı, Sabunçu rayonu, Bakıxanov qəsəbəsi, Fətəliyev Muxtar küçəsi ev 70",226,1255,2025-09-26T05:50:50.527Z,Direktor,u9okww03ar6ns9efj3ny2eu2,,False,False,639,40.41462226848478,az,49.967489938970196,,(+994 12) 493 00 91 | 937,2025-09-26T05:50:50.619Z,Bakıxanov filialı,2025-09-26T05:53:28.535Z,Bazar ertəsi – Cümə: 09:00 - 17:00
